[SUCCESS] | Canada Post | #1030544940626121 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=1030544940626121
[SUCCESS] | Canada Post | #4016010863556872 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010863556872
[SUCCESS] | Canada Post | #4016010863338874 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010863338874
[SUCCESS] | Canada Post | #4016010863458879 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010863458879
[SUCCESS] | Canada Post | #4016010863428872 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010863428872
[SUCCESS] | Canada Post | #4016010862936873 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010862936873
[SUCCESS] | Canada Post | #4016010862588874 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010862588874
[SUCCESS] | Canada Post | #4016010861588875 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010861588875
[SUCCESS] | Canada Post | #4016010861124875 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010861124875
[SUCCESS] | Canada Post | #4016010860830876 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010860830876
[SUCCESS] | Canada Post | #4016010860623874 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010860623874
[SUCCESS] | Canada Post | #4016010860327871 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010860327871
[SUCCESS] | Canada Post | #4016010859808879 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010859808879
[SUCCESS] | Canada Post | #4016010859152873 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010859152873
[SUCCESS] | Canada Post | #4016010859256878 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010859256878
[SUCCESS] | Canada Post | #4016010858547878 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010858547878
[SUCCESS] | Canada Post | #4016010857967875 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010857967875
[SUCCESS] | Canada Post | #4016010858281871 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010858281871
[SUCCESS] | Canada Post | #4016010857872872 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010857872872
[SUCCESS] | Canada Post | #4016010858206874 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010858206874
[SUCCESS] | Canada Post | #4016010857308876 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010857308876
[SUCCESS] | Canada Post | #4016010857271873 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010857271873
[SUCCESS] | Canada Post | #4016010857110875 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010857110875
[SUCCESS] | Canada Post | #4016010857426877 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010857426877
[SUCCESS] | Canada Post | #4016010856560879 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010856560879
[SUCCESS] | Canada Post | #4016010855648875 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010855648875
[SUCCESS] | Canada Post | #4016010855347877 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010855347877
[SUCCESS] | Canada Post | #4016010855089876 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010855089876
[SUCCESS] | Canada Post | #4016010855219877 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010855219877
[SUCCESS] | Canada Post | #4016010854269873 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010854269873
[SUCCESS] | Canada Post | #4016010853766878 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010853766878
[SUCCESS] | Canada Post | #4016010851052874 | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010851052874
[SUCCESS] | UPS | #1ZV56D262004043435 | https://www.ups.com/track?trackingNumber=1ZV56D262004043435
[SUCCESS] | UPS | #1ZV56D262034809427 | https://www.ups.com/track?trackingNumber=1ZV56D262034809427
[SUCCESS] | Canpar | #D420352470001390665001 | https://www.canpar.com/en/tracking/delivery_options.htm?barcode=D420352470001390665001
[SUCCESS] | Canpar | #D420352470001393128001 | https://www.canpar.com/en/tracking/delivery_options.htm?barcode=D420352470001393128001
[SUCCESS] | Canpar | #D420352470001390634001 | https://www.canpar.com/en/tracking/delivery_options.htm?barcode=D420352470001390634001
[SUCCESS] | Purolator | #GQX000010801 | https://www.purolator.com/en/shipping/tracker?pin=GQX000010801
[SUCCESS] | Purolator | #GQX000010793 | https://www.purolator.com/en/shipping/tracker?pin=GQX000010793
[SUCCESS] | Purolator | #520150852066 | https://www.purolator.com/en/shipping/tracker?pin=520150852066
[SUCCESS] | Purolator | #GQX000010744 | https://www.purolator.com/en/shipping/tracker?pin=GQX000010744
[SUCCESS] | Purolator | #520149225671 | https://www.purolator.com/en/shipping/tracker?pin=520149225671
[SUCCESS] | Purolator | #520149208354 | https://www.purolator.com/en/shipping/tracker?pin=520149208354
[SUCCESS] | Purolator | #GQX000010306 | https://www.purolator.com/en/shipping/tracker?pin=GQX000010306
[SUCCESS] | Purolator | #GQX000010298 | https://www.purolator.com/en/shipping/tracker?pin=GQX000010298
[SUCCESS] | Purolator | #520148531434 | https://www.purolator.com/en/shipping/tracker?pin=520148531434
[SUCCESS] | Purolator | #GQX000010256 | https://www.purolator.com/en/shipping/tracker?pin=GQX000010256

--------------------------------------------------
[FAIL] | Canada Post | #4016010863801873 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010863801873
[FAIL] | Canada Post | #4016010859351870 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010859351870
[FAIL] | Canada Post | #4016010859292876 | reason: Notification button not found (likely already delivered) | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010859292876
[FAIL] | Canada Post | #4016010859230878 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010859230878

--------------------------------------------------
